Month,Day,Year,Covid,Day of Week,Holiday,Season,Previous Year Sales,Label
6,28,2017,0,Wednesday,0,Summer,0,0
6,29,2017,0,Thursday,0,Summer,0,1
6,30,2017,0,Friday,0,Summer,0,0
7,1,2017,0,Saturday,0,Summer,0,0
7,2,2017,0,Sunday,0,Summer,0,0
7,3,2017,0,Monday,0,Summer,0,0
7,4,2017,0,Tuesday,0,Summer,0,0
7,5,2017,0,Wednesday,0,Summer,0,5
7,6,2017,0,Thursday,0,Summer,0,1
7,7,2017,0,Friday,0,Summer,0,0
7,8,2017,0,Saturday,0,Summer,0,0
7,9,2017,0,Sunday,0,Summer,0,0
7,10,2017,0,Monday,0,Summer,0,4
7,11,2017,0,Tuesday,0,Summer,0,2
7,12,2017,0,Wednesday,0,Summer,0,0
7,13,2017,0,Thursday,0,Summer,0,0
7,14,2017,0,Friday,0,Summer,0,1
7,15,2017,0,Saturday,0,Summer,0,0
7,16,2017,0,Sunday,0,Summer,0,0
7,17,2017,0,Monday,0,Summer,0,3
7,18,2017,0,Tuesday,0,Summer,0,3
7,19,2017,0,Wednesday,0,Summer,0,1
7,20,2017,0,Thursday,0,Summer,0,0
7,21,2017,0,Friday,0,Summer,0,1
7,22,2017,0,Saturday,0,Summer,0,0
7,23,2017,0,Sunday,0,Summer,0,0
7,24,2017,0,Monday,0,Summer,0,2
7,25,2017,0,Tuesday,0,Summer,0,0
7,26,2017,0,Wednesday,0,Summer,0,2
7,27,2017,0,Thursday,0,Summer,0,1
7,28,2017,0,Friday,0,Summer,0,0
7,29,2017,0,Saturday,0,Summer,0,0
7,30,2017,0,Sunday,0,Summer,0,0
7,31,2017,0,Monday,0,Summer,0,6
8,1,2017,0,Tuesday,0,Summer,0,2
8,2,2017,0,Wednesday,0,Summer,0,2
8,3,2017,0,Thursday,0,Summer,0,0
8,4,2017,0,Friday,0,Summer,0,2
8,5,2017,0,Saturday,0,Summer,0,0
8,6,2017,0,Sunday,0,Summer,0,0
8,7,2017,0,Monday,0,Summer,0,5
8,8,2017,0,Tuesday,0,Summer,0,0
8,9,2017,0,Wednesday,0,Summer,0,4
